user_id;name;created_at;updated_at;content
"009e8b3a-4361-451a-8e74-17348761907b";"16 Niedziela Zwykła (rok C)";"2025-10-22 13:09:40.519453+00";"2025-10-22 13:09:40.519453+00";"We:    Tylko Bóg mi dopomoże         (1-4)   ŚAK-0926
Pd:    Wszystko Tobie oddać          (1-2)   ŚAK-0633
Kom:   Pan Jezus już się zbliża      (1-4)   ŚAK-0255
Uw:    Cały świat niech śpiewa       (1-4)   ŚAK-0295
Zak:   Jasnogórska Pani, Tyś naszą   (1-3)   ŚAK-0381"
"009e8b3a-4361-451a-8e74-17348761907b";"15 Niedziela Zwykła (rok C)";"2025-10-22 13:14:08.338829+00";"2025-10-22 13:14:49.94994+00";"We:    Z dalekiej Fatimy         (1-5)   ŚAK-0464   (UWAGA: 13 lipca)
Pd:    Wszystko Tobie oddać      (1-2)   ŚAK-0633
Kom:   O, Panie, Ty nam dajesz   (1-4)   ŚAK-0247
Uw:    Dzięki, o, Boże Ojcze     (1-3)   ŚAK-0299
Zak:   Posyłam was na pracę      (1,3)   ŚAK-0837   (UWAGA: kazanie o misjach)"
"009e8b3a-4361-451a-8e74-17348761907b";"26 Niedziela Zwykła (rok C)";"2025-10-22 12:57:08.913193+00";"2025-10-22 13:03:42.536241+00";"We:    Boże, w dobroci                 (1-3)   ŚAK-0575
Pd:    Niechaj z nami będzie Pan       (1-6)   ŚAK-0602
Kom:   Ja wiem, w kogo ja wierzę       (1-3)   ŚAK-0225
Uw:    Dziękujemy Ci, Ojcze            (1-3)   ŚAK-0301
Zak:   Królowej anielskiej śpiewajmy   (1-2)   ŚAK-0385"
"009e8b3a-4361-451a-8e74-17348761907b";"Święto Podwyższenia Krzyża Świętego";"2025-10-22 13:06:33.843869+00";"2025-10-22 13:06:33.843869+00";"We:    Krzyżu Chrystusa, bądźże   (1-3)   ŚAK-0132.2
Pd:    Panie, Ty widzisz          (1-3)   ŚAK-0146
Kom:   Witam Cię, witam           (1-3)   ŚAK-0288
Uw:    Upadnij na kolana, ludu    (1-3)   ŚAK-0282
Zak:   W krzyżu cierpienie        (1-2)   ŚAK-0150"
"009e8b3a-4361-451a-8e74-17348761907b";"27 Niedziela Zwykła (rok C)";"2025-10-18 13:44:18.314349+00";"2025-10-22 13:17:02.937569+00";"We:    Czego chcesz od nas           (1-3)     ŚAK-0297.1
Pd:    Niechaj z nami będzie Pan     (1-6)     ŚAK-0602
Kom:   Jeden chleb                   (1-3)     ŚAK-0228
Uw:    Bądź uwielbiony, miłosierny   (1,2,5)   ŚAK-0566
Zak:   Zawitaj, Królowo różańca      (1-2)     ŚAK-0468     (UWAGA: październik)"
"009e8b3a-4361-451a-8e74-17348761907b";"30 Niedziela Zwykła (rok C)";"2025-10-22 12:49:40.784706+00";"2025-10-22 13:17:09.291128+00";"We:    Głoś imię Pana           (1-4)   ŚAK-588
Pd:    Wszystko Tobie oddać     (1-2)   ŚAK-633
Kom:   Pan zstąpił z nieba      (1-2)   ŚAK-257
Uw:    Boże, zmiłuj się         (1-4)   ŚAK-294
Zak:   Zawitaj, Matko różańca   (1-3)   ŚAK-470   (UWAGA: październik)"
"009e8b3a-4361-451a-8e74-17348761907b";"18 Niedziela Zwykła (rok C)";"2025-10-22 13:03:33.038453+00";"2025-10-22 13:17:49.213555+00";"We:    Ty, wszechmocny Panie          (1-3)   ŚAK-0625
Pd:    Twych, Panie, łask             (1-2)   ŚAK-0623
Kom:   Jam jest Chleb Życia           (1-3)   ŚAK-0226
Uw:    Dziękczynne pieśni śpiewajmy   (1-3)   ŚAK-0298
Zak:   Z dawna Polski Tyś Królową     (1-2)   ŚAK-0465   (UWAGA: sierpień)"
